spgroup,code,scientific.name,common.mane
spgrp01,122,Pinus ponderosa,ponderosa pine
spgrp02,116,Pinus jeffreyi,Jeffrey pine
spgrp03,119,Pinus monticola,western white pine
spgrp04,117,Pinus lambertiana,sugar pine
spgrp05,15,Abies concolor,white fir
spgrp06,133,Pinus monophylla,singleleaf pinyon
spgrp07,746,Populus termuloides,quaking aspen
spgrp08,211,Sequoia sempervierns,redwood
spgrp09,631,Lithocarpus densiflorus,tanoak
spgrp10,202,Pseudotsuga menziesii,Douglas-fir
spgrp11,818,Quercus kelloggii,California black oak
spgrp12,361,Arbutus menziesii,Pacific madrone
spgrp13,108,Pinus contorta,lodgepole pine
spgrp14,20,Abies magnifica var. magnifica,California red fir
spgrp15,81,Libocedrus decurrens,incense-cedar
spgrp16,101,Pinus albicaulis,whitebark pine
spgrp17,805,Quercus chrysolepis,canyon live oak
spgrp18,113,Pinus flexilis,limber pine
